model,fold,metric,score
baseline_market,2022,auc_roc,0.4834409456431727
baseline_market,2022,f1,0.6358292869920776
baseline_market,2022,directional_accuracy,0.4838826512133285
baseline_plus_sentiment,2022,auc_roc,0.46987696045667976
baseline_plus_sentiment,2022,f1,0.6240581969342687
baseline_plus_sentiment,2022,directional_accuracy,0.4759145237232887
always_up_benchmark,2022,auc_roc,0.5
always_up_benchmark,2022,f1,0.649877750611247
always_up_benchmark,2022,directional_accuracy,0.4813473379210431
baseline_market,2023,auc_roc,0.5125456087977138
baseline_market,2023,f1,0.6822660098522167
baseline_market,2023,directional_accuracy,0.5309090909090909
baseline_plus_sentiment,2023,auc_roc,0.5144831853439478
baseline_plus_sentiment,2023,f1,0.6723361680840421
baseline_plus_sentiment,2023,directional_accuracy,0.5236363636363637
always_up_benchmark,2023,auc_roc,0.5
always_up_benchmark,2023,f1,0.6972998578872572
always_up_benchmark,2023,directional_accuracy,0.5352727272727272
baseline_market,2024,auc_roc,0.48389129454690333
baseline_market,2024,f1,0.6967833491012299
baseline_market,2024,directional_accuracy,0.5375180375180375
baseline_plus_sentiment,2024,auc_roc,0.4897239376369565
baseline_plus_sentiment,2024,f1,0.7006129184347006
baseline_plus_sentiment,2024,directional_accuracy,0.5418470418470418
always_up_benchmark,2024,auc_roc,0.5
always_up_benchmark,2024,f1,0.7028544688816097
always_up_benchmark,2024,directional_accuracy,0.5418470418470418
baseline_market,2025,auc_roc,0.5047432909869954
baseline_market,2025,f1,0.6998087954110899
baseline_market,2025,directional_accuracy,0.5414384811975174
baseline_plus_sentiment,2025,auc_roc,0.504392671900001
baseline_plus_sentiment,2025,f1,0.7014674043781574
baseline_plus_sentiment,2025,directional_accuracy,0.5469149324571011
always_up_benchmark,2025,auc_roc,0.5
always_up_benchmark,2025,f1,0.7028179019654274
always_up_benchmark,2025,directional_accuracy,0.5418035779481563
